company_name,idea_date,author,link,excerpt,code,price,market_cap
ASML HOLDING NV,,mike126,https://valueinvestorsclub.com/idea/ASML_HOLDING_NV/1642499387,"As of the intraday prices today (Oct 16 2024), ASML’s total shareholder return now lags semicap peers and TSMC over several time periods (YTD, 1 yr, 2 yr, 5 yr, ... Read more",ASML HOLDING NV ASML,627.70,"$247,125mn"
HARMONIC INC,"FRIDAY, FEB 21, 2014",cobia72,https://valueinvestorsclub.com/idea/HARMONIC_INC/2021823155,HLIT Price $6.55 Mkt Cap $662m Net cash $171m TEV $491m 2014 Revenue $487m 2015 Revenue $523m TEV / 2014 Revenue = 1.0x TEV / 2015 Revenue = 0.9x 2014 EBIT $37.2m 2015 EBIT $62.5m TEV / 2014 EBIT = ... Read more,HARMONIC INC HLIT,6.55,$662mn
SERVICE CORP INTERNATIONAL,"THURSDAY, FEB 20, 2014",JSTC,https://valueinvestorsclub.com/idea/SERVICE_CORP_INTERNATIONAL/8727536784,"THESIS SCI is a cash cow, with a demographic tailwind at its back and a number of potentially game-changing strategic transactions it could pursue in coming years.  I am recommending going LONG SCI, ... Read more",SERVICE CORP INTERNATIONAL SCI,18.20,"$3,865mn"
SEADRILL PARTNERS LLC,"THURSDAY, FEB 20, 2014",snarfy,https://valueinvestorsclub.com/idea/SEADRILL_PARTNERS_LLC/5785942348,I am short Seadrill Partners LLC (NYSE: SDLP).  The common units are priced at $31.  I believe they could fall to the mid-teens or worse.  The forward distribution yield is ... Read more,SEADRILL PARTNERS LLC SDLP,31.00,"$1,786mn"
SPEEDWAY MOTORSPORTS INC,"THURSDAY, FEB 20, 2014",nathanj,https://valueinvestorsclub.com/idea/SPEEDWAY_MOTORSPORTS_INC/7913258315,"Summary and Thesis Speedway Motorsports (TRK) is a NASCAR-sanctioned duopoly with guaranteed TV revenue stream growing annually over the next ten years.  At $19/share, TRK is trading at 8x trailing ebitda ... Read more",SPEEDWAY MOTORSPORTS INC TRK,19.31,$800mn
SEADRILL PARTNERS LLC,"WEDNESDAY, FEB 19, 2014",snarfy,https://valueinvestorsclub.com/idea/SEADRILL_PARTNERS_LLC/5785942348,I am short Seadrill Partners LLC (NYSE: SDLP).  The common units are priced at $31.  I believe they could fall to the mid-teens or worse.  The forward distribution yield is ... Read more,SEADRILL PARTNERS LLC SDLP,31.00,"$1,786mn"
SPEEDWAY MOTORSPORTS INC,"WEDNESDAY, FEB 19, 2014",nathanj,https://valueinvestorsclub.com/idea/SPEEDWAY_MOTORSPORTS_INC/7913258315,"Summary and Thesis Speedway Motorsports (TRK) is a NASCAR-sanctioned duopoly with guaranteed TV revenue stream growing annually over the next ten years.  At $19/share, TRK is trading at 8x trailing ebitda ... Read more",SPEEDWAY MOTORSPORTS INC TRK,19.31,$800mn
LIFE TIME FITNESS INC,"TUESDAY, FEB 18, 2014",conway968,https://valueinvestorsclub.com/idea/LIFE_TIME_FITNESS_INC/3161847881,"Summary Life Time Fitness (LTM or the “Company”) represents an attractive long investment opportunity in the low $40s per share. The Company has a differentiated product, hard asset coverage (maybe $1bn ... Read more",LIFE TIME FITNESS INC LTM,43.70,"$1,863mn"
DELHAIZE GROUP - ETS DLHZ FR,"TUESDAY, FEB 18, 2014",andreas947,https://valueinvestorsclub.com/idea/DELHAIZE_GROUP_-_ETS_DLHZ_FR/7746316011,Delhaize Group (DEG or DELB.BR)     Summary   Our fund generally focuses on smaller companies with Ft. Knox balance sheets and large & sustainable free cash flow yields.  We are often seeking a ... Read more,DELHAIZE GROUP - ETS DLHZ FR DEG,50.00,"$5,050mn"
HARVARD BIOSCIENCE INC,"TUESDAY, FEB 18, 2014",nilnevik,https://valueinvestorsclub.com/idea/HARVARD_BIOSCIENCE_INC/9017365962,Zeke just wrote up HBIO recently and we believe we can further embellish on the familiar thesis - we've been working on this idea for a while and wanted to ... Read more,HARVARD BIOSCIENCE INC HBIO,4.25,$134mn
