date,author,old_ticker,new_ticker,company_name,reasoning,processed_at
2021-10-18,erst1071,NO0010815673.SG,NO0010815673.SG,Fjordkraft,"The only available ticker matches the provided ticker 'NO0010815673.SG'. Although the name is not specified, the exchange is Stuttgart (STU), which is the largest available exchange in the results.",2025-02-09 12:09:11.616463
2021-10-15,Leo11,FLOW,FLOW,Flow Token,"The given ticker 'FLOW' matches exactly with the results provided, indicating that it corresponds to 'Flow Token'. Also, it is listed on PCX, which is the only relevant exchange listed for 'FLOW'.",2025-02-09 12:09:11.616463
2021-09-11,phn19,FPAC.DE,FPAC.DE,FAR PEAK ACQUISITION CORP,"The only provided ticker matches the company name FAR PEAK ACQUISITION CORP, and it is listed on the German exchange (GER). There are no other options available to consider.",2025-02-09 12:09:11.616463
2021-09-10,Jumpman23,9B5.F,9B5.F,AIRTASKER LTD,The ticker '9B5.F' matches with the company name 'AIRTASKER LTD' as it is listed as 'Airtasker Limited' on the Frankfurt Stock Exchange (FRA). This indicates that it still operates as a public entity.,2025-02-09 12:09:11.616463
2021-07-20,levcap65,XIACY,XIACY,Xiaomi Corp,"XIACY (Xiaomi Corporation) is the most commonly used ticker for the company, listed on the largest exchange (PNK) among the available options.",2025-02-09 12:09:11.616463
2021-07-11,fizz808,UNTC,UNTC,UNIT CORP,"The best matching ticker for 'UNIT CORP' is 'UNTC', which corresponds to 'Unit Corporation' on the OQX exchange. It directly matches the company name and is the only relevant match in the provided results.",2025-02-09 12:09:11.616463
2021-06-08,krusty75,SBNY,SBNY,SIGNATURE BANK/NY,"The ticker 'SBNY' corresponds directly to 'SIGNATURE BANK/NY', indicating a clear match for the company in question.",2025-02-09 12:09:11.616463
2021-05-17,BlueFIN24,NESR,NESR,NATIONAL ENERGY SERVICES REU,"The ticker 'NESR' corresponds directly to the company 'National Energy Services Reunited Corp.' and is present on the NCM exchange, making it the best match.",2025-02-09 12:09:11.616463
2021-05-14,Cupmachine314,MSGE,MSGE,MADISON SQUARE GARD ENT,"The ticker 'MSGE' corresponds to 'Madison Square Garden Entertainment Corp.' which matches the provided company name 'MADISON SQUARE GARD ENT'. It is listed on the NYSE (NYQ), which is a major exchange.",2025-02-09 12:09:11.616463
2021-04-29,BigbetBarmouth,GSFO.OL,GSFO.OL,Grieg Seafood,"GSFO.OL corresponds to Grieg Seafood with the greatest exchange being OSL (Oslo Stock Exchange). Although there are matching symbols from FRA and DUS, OSL is the largest and most relevant exchange for this company.",2025-02-09 12:09:11.616463
2021-04-26,Chalkbaggery,DBD,DBD,DIEBOLD NIXDORF INC,"The ticker DBD corresponds directly to Diebold Nixdorf, Incorporated and is listed on the NYQ, which is the largest exchange among the provided options.",2025-02-09 12:09:11.616463
2021-03-17,ThatDu04,JDC.BE,JDC.DE,JDC Group,"JDC Group AG on the GER exchange is the best match based on the available options, as it includes the full name and is listed on a larger exchange compared to others.",2025-02-09 12:09:11.616463
2021-02-03,BTudela16,21W.DU,21W.DU,Redde Northgate plc,Selected 21W.DU as it directly matches the provided ticker and is associated with Redde Northgate PLC on the DUS exchange.,2025-02-09 12:09:11.616463
2021-01-04,YesTroy,XIACY,XIACY,Xiaomi Corporation,"XIACY is the original ticker for Xiaomi Corporation, which is listed on the PNK (Pink Sheets) exchange. Among the options, it directly represents the company and is a widely recognized symbol for it.",2025-02-09 12:09:11.616463
2020-11-23,MrTwister,4CN.MU,4CN.MU,CentralNic,"The ticker '4CN.MU' directly matches the provided ticker for CentralNic, and it refers to CentralNic Group Plc listed on the MUN exchange.",2025-02-09 12:09:11.616463
2020-11-18,Hastan,FIA1S.HE,FIA1S.HE,Finnair,"FIA1S.HE is the primary ticker for Finnair Oyj listed on the Helsinki Stock Exchange (HEL), which is the largest exchange in this context.",2025-02-09 12:09:11.616463
2020-11-12,Lerma525,OACC,OACC,OAKTREE ACQ CORP,"The ticker 'OACC' directly matches the given company name 'OAKTREE ACQ CORP', indicating it is the best match.",2025-02-09 12:09:11.616463
2020-11-07,Earnings Szn,AMRS,AMRS,"Amyris, Inc","The ticker symbol 'AMRS' directly matches the company name 'Amyris, Inc', making it the best and only available option.",2025-02-09 12:09:11.616463
